info,rate,title,title2,hot,img_url
韩寒 / 国际文化出版公司 / 2010-9 / 25.00元,7.9,"
                1988：我想和这个世界谈谈

                
              ",,"(
                    124830人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4477716.jpg
路遥 / 人民文学出版社 / 2005-1 / 64.00元,9.0,"
                平凡的世界（全三部）

                
              ",,"(
                    109973人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2335693.jpg
[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,8.5,"
                简爱（英文全本）

                
              ",Jane Eyre,"(
                    113257人评价
                )",https://img3.doubanio.com/view/subject/m/public/s5924326.jpg
[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,9.0,"
                哈利·波特与魔法石

                
              ",Harry Potter and the Philosopher's Stone,"(
                    91999人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1990480.jpg
刘慈欣 / 重庆出版社 / 2008-5 / 32.00,9.3,"
                三体Ⅱ

                
                  ",,"(
                    102934人评价
                )",https://img3.doubanio.com/view/subject/m/public/s3078482.jpg
刘慈欣 / 重庆出版社 / 2010-11 / 38.00元,9.2,"
                三体Ⅲ

                
                  ",,"(
                    102486人评价
                )",https://img3.doubanio.com/view/subject/m/public/s26012674.jpg
[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,9.0,"
                小王子

                
              ",Le Petit Prince,"(
                    246776人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1237549.jpg
刘慈欣 / 重庆出版社 / 2008-1 / 23.00,8.8,"
                三体

                
                  ",,"(
                    174124人评价
                )",https://img1.doubanio.com/view/subject/m/public/s2768378.jpg
[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,8.5,"
                不能承受的生命之轻

                
              ",Nesnesitelná lehkost bytí,"(
                    141512人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1091698.jpg
[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,9.6,"
                红楼梦

                
              ",,"(
                    132945人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1070959.jpg
郭敬明 / 春风文艺出版社 / 2003-11 / 20.00元,7.1,"
                梦里花落知多少

                
              ",,"(
                    150819人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1513378.jpg
[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / CNY 39.50,9.2,"
                白夜行

                
              ",,"(
                    117308人评价
                )",https://img1.doubanio.com/view/subject/m/public/s24514468.jpg
[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,9.3,"
                飘

                
              ",Gone with the Wind,"(
                    83940人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1078958.jpg
刘瑜 / 上海三联书店 / 2010-1 / 25.00元,8.6,"
                送你一颗子弹

                
              ",,"(
                    94159人评价
                )",https://img1.doubanio.com/view/subject/m/public/s4243447.jpg
高铭 / 武汉大学出版社 / 2010-2 / 29.80元,8.2,"
                天才在左 疯子在右

                
                  ",,"(
                    99863人评价
                )",https://img1.doubanio.com/view/subject/m/public/s6340977.jpg
[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元,8.8,"
                傲慢与偏见

                
              ",Pride and Prejudice,"(
                    90494人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4250062.jpg
张爱玲 / 花城出版社 / 1997-3-1 / 11.00,8.5,"
                倾城之恋

                
              ",,"(
                    92782人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1077102.jpg
韩寒 / 作家出版社 / 2000-5 / 16.00,7.4,"
                三重门

                
              ",,"(
                    98362人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1024882.jpg
李可 / 陕西师范大学出版社 / 2007-9 / 26.00元,7.8,"
                杜拉拉升职记

                
              ",,"(
                    90348人评价
                )",https://img3.doubanio.com/view/subject/m/public/s3012803.jpg
当年明月 / 中国友谊出版公司 / 2006-9 / 24.80,8.7,"
                明朝那些事儿（壹）

                
                  ",,"(
                    88140人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1872653.jpg
[英] J. K. 罗琳 / 郑须弥 / 人民文学出版社 / 2000-9 / 26.50元,8.9,"
                哈利·波特与阿兹卡班的囚徒

                
              ",Harry Potter and the Prisoner of Azkaban,"(
                    76717人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1074376.jpg
龙应台 / 生活·读书·新知三联书店 / 2009-10 / 39.00元,8.7,"
                目送

                
              ",,"(
                    88003人评价
                )",https://img1.doubanio.com/view/subject/m/public/s3984108.jpg
[法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2005-7 / 20.00元,8.1,"
                情人

                
              ",L'Amant,"(
                    90724人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1444578.jpg
[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2000-9 / 22.00元,8.9,"
                哈利·波特与密室

                
              ",Harry Potter And The Chamber Of Secrets,"(
                    74237人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1557672.jpg
[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,8.9,"
                万历十五年

                
              ",,"(
                    68173人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1800355.jpg
杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,8.7,"
                我们仨

                
              ",,"(
                    90035人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1015872.jpg
郭敬明 / 春风文艺出版社 / 2003-1 / 28.00元,7.0,"
                幻城

                
              ",,"(
                    93220人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1100387.jpg
辛夷坞 / 朝华出版社 / 2007-8 / 25.00元,7.8,"
                致我们终将逝去的青春

                
              ",,"(
                    83530人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2652662.jpg
[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元,8.3,"
                1Q84 BOOK 1

                
                  ",,"(
                    81821人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4363464.jpg
姜戎 / 长江文艺出版社 / 2004-4 / 32.00元,8.3,"
                狼图腾

                
              ",,"(
                    81973人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1466042.jpg
顾漫 / 江苏文艺出版社 / 2009-8 / 25.00,8.0,"
                微微一笑很倾城

                
              ",,"(
                    81454人评价
                )",https://img1.doubanio.com/view/subject/m/public/s10320248.jpg
韩寒 主编 / 书海出版社 / 2010-7-6 / 16.00元,7.8,"
                独唱团（第一辑）

                
              ",,"(
                    80969人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4436571.jpg
安妮宝贝 / 作家出版社 / 2006-3 / 25.00元,8.0,"
                莲花

                
              ",,"(
                    79031人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1513548.jpg
[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元,9.0,"
                哈利·波特与火焰杯

                
              ",Harry Potter and the Goblet of Fire,"(
                    74352人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1072746.jpg
沈从文 / 北岳文艺出版社 / 2002-4 / 12.00元,8.6,"
                边城

                
              ",,"(
                    76387人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1595557.jpg
[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,9.0,"
                月亮和六便士

                
              ",The Moon and Sixpence,"(
                    80849人评价
                )",https://img1.doubanio.com/view/subject/m/public/s2659208.jpg
幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,8.4,"
                向左走·向右走

                
              ",,"(
                    72634人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1557610.jpg
余华 / 作家出版社 / 2012-8-1 / 20.00元,9.3,"
                活着

                
              ",,"(
                    98841人评价
                )",https://img3.doubanio.com/view/subject/m/public/s29053580.jpg
霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00,8.2,"
                穆斯林的葬礼

                
              ",,"(
                    76355人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1790771.jpg
张嘉佳 / 湖南文艺出版社 / 2013-11-1 / CNY 39.80,7.1,"
                从你的全世界路过

                
                  ",,"(
                    84976人评价
                )",https://img3.doubanio.com/view/subject/m/public/s27102925.jpg
郭敬明 / 长江文艺出版社 / 2007-5 / 24.00元,6.2,"
                悲伤逆流成河

                
              ",,"(
                    88137人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2405994.jpg
[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00,8.4,"
                恶意

                
              ",悪意,"(
                    80136人评价
                )",https://img3.doubanio.com/view/subject/m/public/s3814606.jpg
金庸 / 有1996年11月北平第4次印刷本 / 生活.读书.新知三联书店 / 1994-5 / 96.0,9.1,"
                天龙八部

                
              ",,"(
                    59544人评价
                )",https://img1.doubanio.com/view/subject/m/public/s23632058.jpg
[日]东野圭吾 / 赵峻 / 南海出版公司 / 2010-1 / 20.00元,7.6,"
                放学后

                
              ",はうかご,"(
                    83336人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4066862.jpg
J.K.Rowling / Arthur A. Levine Books / 2007-7-21 / 34.99美元,8.9,"
                Harry Potter and the Deathly Hallows

                
              ",,"(
                    7418人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2352093.jpg
韩寒 / 中国青年出版社 / 2004-8 / 20.00元,7.4,"
                长安乱

                
              ",,"(
                    75489人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1563589.jpg
[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2005-10 / 58.00元,8.8,"
                哈利·波特与混血王子

                
              ",Harry Potter and the Half-Blood Prince,"(
                    65111人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1447381.jpg
[日] 青山七惠 / 竺家荣 / 上海译文出版社 / 2007-9 / 15.00元,7.6,"
                一个人的好天气

                
              ",ひとり日和,"(
                    74274人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2732804.jpg
（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80元,8.5,"
                苏菲的世界

                
              ",Sofies verden,"(
                    65900人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2153661.jpg
余华 / 南海出版公司 / 1998-9 / 16.80元,8.7,"
                许三观卖血记

                
              ",,"(
                    69615人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1074291.jpg
郭敬明 / 春风文艺出版社 / 2005-2 / 24.00元,7.3,"
                1995-2005夏至未至

                
              ",,"(
                    69905人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1302594.jpg
三毛 / 皇冠出版社 / 1976 / 160 TWD,9.0,"
                撒哈拉的故事

                
              ",,"(
                    66423人评价
                )",https://img3.doubanio.com/view/subject/m/public/s3563113.jpg
南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元,8.3,"
                盗墓笔记

                
                  ",,"(
                    66840人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4442295.jpg
[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,9.0,"
                霍乱时期的爱情

                
              ",El amor en los tiempos del cólera,"(
                    75088人评价
                )",https://img3.doubanio.com/view/subject/m/public/s11284102.jpg
[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元,8.7,"
                哈利·波特与凤凰社

                
              ",Harry Potter and the Order of the Phoenix,"(
                    61531人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1822013.jpg
亦舒 / 新世界出版社 / 2007-2 / 22.00元,8.0,"
                喜宝

                
              ",,"(
                    46410人评价
                )",https://img1.doubanio.com/view/subject/m/public/s5813979.jpg
[美] 加布瑞埃拉·泽文 / 孙仲旭 / 江苏凤凰文艺出版社 / 2015-5-1 / CNY 35.00,7.6,"
                岛上书店

                
              ",The Storied Life of A. J. Fikry,"(
                    84962人评价
                )",https://img1.doubanio.com/view/subject/m/public/s29810488.jpg
唐七公子 / 沈阳出版社 / 2009-1 / 26.80,7.9,"
                三生三世 十里桃花

                
              ",,"(
                    70747人评价
                )",https://img1.doubanio.com/view/subject/m/public/s3551687.jpg
[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元,8.1,"
                海边的卡夫卡

                
              ",,"(
                    64618人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1094940.jpg
余秋雨 / 东方出版中心 / 2001-4 / 22.00元,7.7,"
                文化苦旅

                
              ",,"(
                    67785人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2166670.jpg
大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,9.0,"
                基督山伯爵

                
              ",Le Comte de Monte-Cristo,"(
                    54206人评价
                )",https://img3.doubanio.com/view/subject/m/public/s3248016.jpg
[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,8.7,"
                窗边的小豆豆

                
              ",,"(
                    63038人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1067911.jpg
[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.2,"
                三国演义（全二册）

                
              ",,"(
                    57972人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1076932.jpg
王小波 / 花城出版社 / 1999-3 / 19.00元,8.8,"
                黄金时代

                
                  ",,"(
                    63494人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1076372.jpg
今何在 / 光明日报出版社 / 2001-4 / 14.80元,8.4,"
                悟空传

                
                  ",,"(
                    64142人评价
                )",https://img3.doubanio.com/view/subject/m/public/s9026255.jpg
余华 / 上海文艺出版社 / 2005-8 / 16.00元,8.3,"
                兄弟（上）

                
              ",,"(
                    60676人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1427312.jpg
艾米莉·勃朗特 / 张扬 / 人民文学出版社 / 1999-1 / 27.30元,8.4,"
                呼啸山庄

                
              ",Wuthering Heights,"(
                    60612人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1095383.jpg
金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,9.0,"
                笑傲江湖（全四册）

                
              ",,"(
                    52897人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2157335.jpg
[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,8.4,"
                少有人走的路

                
                  ",The Road Less Traveled,"(
                    59395人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2144391.jpg
刘瑜 / 上海三联书店 / 2009-6 / 25.00,8.6,"
                民主的细节

                
                  ",,"(
                    56130人评价
                )",https://img1.doubanio.com/view/subject/m/public/s4146437.jpg
龙应台 / 人民文学出版社 / 2008-12 / 26.00,8.7,"
                亲爱的安德烈

                
              ",,"(
                    57833人评价
                )",https://img1.doubanio.com/view/subject/m/public/s3993878.jpg
[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,8.8,"
                灿烂千阳

                
              ",A Thousand Splendid Suns,"(
                    57552人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2651394.jpg
海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,8.3,"
                老人与海

                
              ",The Old Man and the Sea,"(
                    58718人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1050021.jpg
张德芬 / 华夏出版社 / 2008-1 / 29.00,8.1,"
                遇见未知的自己

                
              ",,"(
                    56400人评价
                )",https://img3.doubanio.com/view/subject/m/public/s3403254.jpg
[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元,9.3,"
                一九八四·动物农场

                
              ",Nineteen Eighty-Four,"(
                    25493人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1089916.jpg
[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,8.6,"
                牧羊少年奇幻之旅

                
              ",O Alquimista,"(
                    60659人评价
                )",https://img1.doubanio.com/view/subject/m/public/s3668327.jpg
[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.2,"
                福尔摩斯探案全集（上中下）

                
              ",,"(
                    50414人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1229240.jpg
郭敬明 / 长江文艺出版社 / 2008-10 / 29.80元,6.5,"
                小时代1.0折纸时代

                
              ",,"(
                    62459人评价
                )",https://img3.doubanio.com/view/subject/m/public/s3251696.jpg
[美] 弗拉基米尔·纳博科夫 / 主万 / 上海译文出版社 / 2005-12 / 27.00元,7.7,"
                洛丽塔

                
              ",Lolita,"(
                    56960人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1483347.jpg
[哥伦比亚] 加西亚·马尔克斯 / 黄锦炎 / 上海译文出版社 / 1989-10 / 12.70元,8.9,"
                百年孤独

                
              ",Cien años de soledad,"(
                    48847人评价
                )",https://img1.doubanio.com/view/subject/m/public/s2785398.jpg
[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-6 / 36.00元,8.4,"
                1Q84 BOOK 2

                
                  ",,"(
                    53020人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4393610.jpg
安妮宝贝 / 作家出版社 / 2007-9 / 27.00元,7.8,"
                素年锦时

                
              ",,"(
                    52735人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2686185.jpg
[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,8.6,"
                情书

                
              ",ラヴレター,"(
                    50539人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1127135.jpg
蔡智恒 / 知识出版社 / 1999-11-1 / 12.80,7.4,"
                第一次的亲密接触

                
              ",,"(
                    53616人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1327750.jpg
金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,8.8,"
                神雕侠侣

                
              ",神鵰俠侶,"(
                    47984人评价
                )",https://img3.doubanio.com/view/subject/m/public/s26018916.jpg
韩寒 / 二十一世纪出版社 / 2006-1 / 19.90元,7.4,"
                一座城池

                
              ",,"(
                    53482人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1627352.jpg
小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元,8.2,"
                茶花女

                
              ",La Dame aux camélias,"(
                    52761人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1008927.jpg
[美国] J. D. 塞林格 / 施咸荣 / 译林出版社 / 1997-2 / 7.80元,7.9,"
                麦田里的守望者

                
              ",The Catcher in the Rye,"(
                    53905人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2738366.jpg
韩寒 / 万卷出版公司 / 2009-1 / 25.00元,7.5,"
                他的国

                
              ",,"(
                    51664人评价
                )",https://img1.doubanio.com/view/subject/m/public/s3557848.jpg
安妮宝贝 / 南海出版公司 / 2001-9 / 20.00元,7.8,"
                彼岸花

                
              ",,"(
                    49117人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1077536.jpg
笛安 / 长江文艺出版社 / 2009-3 / 22.80元,7.9,"
                西决

                
              ",,"(
                    49139人评价
                )",https://img3.doubanio.com/view/subject/m/public/s3658646.jpg
[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.0,"
                东方快车谋杀案

                
              ",Murder on the Orient Express,"(
                    42504人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1765799.jpg
[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元,8.5,"
                挪威的森林

                
              ",ノルウェイの森,"(
                    54198人评价
                )",https://img1.doubanio.com/view/subject/m/public/s27312538.jpg
文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元,8.4,"
                这些都是你给我的爱

                
              ",,"(
                    45302人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4219471.jpg
吴念真 / 译林出版社 / 2011-9 / 28.00元,8.8,"
                这些人，那些事

                
              ",,"(
                    44843人评价
                )",https://img3.doubanio.com/view/subject/m/public/s6828981.jpg
安妮宝贝 / 作家出版社 / 2001-1 / 16.00元,7.5,"
                八月未央

                
              ",,"(
                    48930人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1084388.jpg
[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,8.1,"
                当我谈跑步时我谈些什么

                
              ",走ることについて語るときに僕の語ること,"(
                    49119人评价
                )",https://img3.doubanio.com/view/subject/m/public/s3507580.jpg
当年明月 / 中国友谊出版公司 / 2007-1 / 24.80,8.9,"
                明朝那些事儿（贰）

                
                  ",,"(
                    44555人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4428714.jpg
安妮宝贝 / 天津人民出版社 / 2004-10 / 22.00元,7.9,"
                清醒纪

                
              ",,"(
                    45457人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1071442.jpg
[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7,"
                一个陌生女人的来信

                
              ",Brief einer Unbekannten,"(
                    48584人评价
                )",https://img1.doubanio.com/view/subject/m/public/s2611329.jpg
蔡康永 著 / 沈阳出版社 / 2010-10 / 25.00元,7.1,"
                蔡康永的说话之道

                
              ",,"(
                    51105人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4578461.jpg
(法)马克·李维 / 段韵灵 / 湖南文艺出版社 / 2012-6-20 / 29.80元,7.8,"
                偷影子的人

                
              ",Le voleur d'ombres,"(
                    57830人评价
                )",https://img1.doubanio.com/view/subject/m/public/s10339418.jpg
安东尼 / 长江文艺出版社 / 2008-3 / 18.00,8.3,"
                陪安东尼度过漫长岁月

                
              ",,"(
                    43552人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2998096.jpg
王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.1,"
                沉默的大多数

                
                  ",,"(
                    45834人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1447349.jpg
陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,8.6,"
                白鹿原

                
              ",,"(
                    47840人评价
                )",https://img1.doubanio.com/view/subject/m/public/s9137567.jpg
[美国] 桑德拉·希斯内罗丝 / 潘帕 / 译林出版社 / 2006-6 / 24.50元,7.8,"
                芒果街上的小屋

                
              ",The House on Mango Street,"(
                    45138人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1668712.jpg
（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元,8.1,"
                羊脂球

                
              ",,"(
                    45658人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1469280.jpg
[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,8.0,"
                鲁滨逊漂流记

                
              ",,"(
                    47121人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1242786.jpg
[日] 井上雄彦 / 邹宁 / 长春出版社 / 2005-1 / 7.50元,9.5,"
                灌篮高手31

                
              ",,"(
                    27372人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2853431.jpg
三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,9.2,"
                撒哈拉的故事

                
              ",,"(
                    40632人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1066570.jpg
[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元,8.3,"
                巴黎圣母院

                
              ",Notre-Dame de Paris,"(
                    44290人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4493741.jpg
[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,"
                肖申克的救赎

                
              ",Different Seasons,"(
                    41481人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4007145.jpg
[美国] J. D. 塞林格 / 孙仲旭 / 译林出版社 / 2007-3 / 28.00元,8.1,"
                麦田里的守望者

                
              ",The Catcher in the Rye,"(
                    44720人评价
                )",https://img1.doubanio.com/view/subject/m/public/s2380159.jpg
[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,8.2,"
                无声告白

                
              ",Everything I Never Told You,"(
                    54470人评价
                )",https://img3.doubanio.com/view/subject/m/public/s28109182.jpg
（日）东野圭吾 / 刘子倩 / 南海出版公司 / 2009年11月 / 19.80元,9.0,"
                嫌疑人X的献身

                
              ",,"(
                    40921人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4055190.jpg
艾米 / 江苏文艺出版社 / 2007-9 / 25.00元,7.8,"
                山楂树之恋

                
              ",,"(
                    41601人评价
                )",https://img3.doubanio.com/view/subject/m/public/s2684486.jpg
唐七公子 / 现代出版社 / 2011-1 / 39.80元,8.4,"
                华胥引（全二册）

                
              ",,"(
                    41124人评价
                )",https://img3.doubanio.com/view/subject/m/public/s4599550.jpg
幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,8.3,"
                地下铁

                
              ",,"(
                    40088人评价
                )",https://img3.doubanio.com/view/subject/m/public/s1672971.jpg
[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 11.80元,7.8,"
                且听风吟

                
              ",風の歌を聴け,"(
                    44222人评价
                )",https://img1.doubanio.com/view/subject/m/public/s1029019.jpg
[苏] 尼·奥斯特洛夫斯基 / 曹缦西 / 译林出版社 / 1996-10 / 20.00元,7.6,"
                钢铁是怎样炼成的

                
              ",How the Steel Was Tempered,"(
                    46057人评价
                )",https://img1.doubanio.com/view/subject/m/public/s2241708.jpg
